"state","mean_price","state_abv"
"Alabama",281989.886461953,"AL"
"Alaska",444032.558823529,"AK"
"Arizona",434165.492946521,"AZ"
"Arkansas",286965.3831246,"AR"
"California",599444.68960965,"CA"
"Colorado",536975.895111055,"CO"
"Connecticut",408582.930420712,"CT"
"Delaware",373758.664203471,"DE"
"Florida",392293.851127938,"FL"
"Georgia",353182.389033602,"GA"
"Hawaii",576662.588211868,"HI"
"Idaho",516237.862347381,"ID"
"Illinois",293601.064227642,"IL"
"Indiana",282492.140077471,"IN"
"Iowa",244903.401837465,"IA"
"Kansas",263710.059542123,"KS"
"Kentucky",259640.399934405,"KY"
"Louisiana",275196.89628293,"LA"
"Maine",356500.901104418,"ME"
"Maryland",419849.204258831,"MD"
"Massachusetts",506388.730250307,"MA"
"Michigan",255496.865548227,"MI"
"Minnesota",353708.814380894,"MN"
"Mississippi",261800.669333333,"MS"
"Missouri",267182.646854947,"MO"
"Montana",459145.348937187,"MT"
"Nebraska",297856.905084746,"NE"
"Nevada",490235.392710706,"NV"
"New Hampshire",462890.767041694,"NH"
"New Jersey",397804.87487109,"NJ"
"New Mexico",333517.082272809,"NM"
"New York",338765.562471873,"NY"
"North Carolina",358462.280641662,"NC"
"North Dakota",299076.60035603,"ND"
"Ohio",218580.99528611,"OH"
"Oklahoma",252765.199412259,"OK"
"Oregon",519578.207310225,"OR"
"Pennsylvania",295671.39102321,"PA"
"Rhode Island",414292.643896152,"RI"
"South Carolina",358570.914799342,"SC"
"South Dakota",351340.151193634,"SD"
"Tennessee",365976.050257808,"TN"
"Texas",363647.691916903,"TX"
"Utah",555951.574246723,"UT"
"Vermont",376002.214079074,"VT"
"Virginia",432952.41077626,"VA"
"Washington",548099.95054551,"WA"
"West Virginia",237933.878497791,"WV"
"Wisconsin",298841.568950762,"WI"
"Wyoming",392432.734168865,"WY"
